Abbot Burn
J Spring
Jack Creek
Jackson Creek
Jim Hayes Creek
Jimbo Mountain
Johnnie Creek
Johnson Saddle
Jones Canyon
Jones Creek
Jordan Creek
Joseph Canyon
Joseph Creek
Josephine Creek
Jump Off Joe Peak
Jump off Joe
Juniper Creek
Jussard Creek
Kalmiopsis Additions
Karnowsky Creek
Keeney Meadows
Keith Canyon
Kelly Mountain
Kelsay Valley
King Mountain
Kinney Mountain
Kitson Ridge
Klamath River
Klondike Springs
Lake Creek
Lake Fork Creek
Lake Peak
Lake of the Woods Mountain
Lane Creek
Larch Mountain
Larison Creek
Larison Rock
Last Chance Creek
Last Creek
Lava Butte
Lava Cast Forest
Lava Lake
Lava River Cave
Laycock Creek
Lemolo
Lewis Officer Creek
Lick Creek
Lightening Gulch
Lilly Mountain
Limber Jim Meadows
Limestone Creek
Limpy Creek
Limpy Rock
Lind Peak
Linda Driskil
Link Bar Spring
Little Applegate River
Little Clear Creek
Little Fly Creek
Little Grayback Mountain
Little Honey Creek
Little Lookingglass Creek
Little Muddy Creek
Little Phillips Canyon
Little Round Prairie
Little Sandy River
Little Wolf Creek
Lobster Creek
Logan Valley
Lone Tree Ridge
Long Branch Creek
Long Butte
Long Creek
Long Creek Municipal Watershed
Long Meadow
Lookingglass Creek
Lookout Mountain
Lost Creek
Lost Lake Butte
Lost Valley
Lower Badger Creek
Lower Beaver Creek
Lower Buck Mountain
Lower Canyon Creek
Lower Divine Canyon
Lower Drift Creek
Lower Eagle Creek
Lower Ground Hog Butte
Lower Sugar Pine Butte
Lower Sycan Butte
Lower Sycan River
Lower Tioga Creek
Lower White River
Lunch Creek
Magpie Table
Mahogany Butte
Maiden Peak
Malheur River Canyon
Maple Gulch
Marble Point
Marco Creek
Marten Creek
Marys Peak
McCall Point
McClean Mountain
McClellan Mountain
McKinney Creek
McLennan Mountain
Meadow Creek
Memaloose Lake
Menagerie Wilderness Addition -  Moose Mountain
Merritt Creek
Metolius Breaks
Mid Barnes Valley Creek
Middle Fork of the North Fork Smith River (Lesley Headwaters)
Middle Santiam Wilderness Additions Upper Quartzville Creek
Middle Willow
Miles Mountain
Mill Creek
Mill Creek Additions
Mill Creek Buttes
Miller Creek
Mineral Canyon
Minniece Point
Mistletoe-Clackamas River
Modoc Mountain
Modoc Point
Mokst Butte
Molalla Headwaters Dead Horse Canyon
Monon Lake
Monson Valley
Monterica Creek
Monument Rock Additions
Moon Creek
Moonshine Canyon - North Mount Emily
Moose Creek
Morgan Creek
Morine Creek
Morris Creek
Moss Mountain
Moss-Pass Butte
Mount Bachelor
Mount Bailey
Mount Bidwell
Mount Bruno
Mount Emily
Mount Emily Creek
Mount Hebo
Mount Hood Additions - Tilly Jane
Mount Hope
Mount Howard
Mount Jefferson Additions
Mount Pisgah
Mount Popocatepetl
Mount Scott
Mount Thielsen Additions
Mount Washington Additions
Mountain Lakes Additions
Mud Lake
Muddy Creek
Mule Mountain
Mulkey Springs
Mungers Butte
Murderers Creek
Myers Canyon
Myrtle Creek
Myrtle Creek - Silvies River
Myrtle Park Meadows
Nameless Lava
Neil Creek
Newell Creek
Nine Mile Spring
Ninemile Peak
Nipple Butte
Noonday Ridge
Norcross Springs
North Bear Creek
North Boulder Creek
North Chiloquin Ridge
North Cold Spring Mountain
North Crater
North Fork Alsea River
North Fork Crooked River
North Fork Deep Creek
North Fork Dry Creek (Heiken Hills)
North Fork John Day Additions
North Fork Malheur River
North Fork Pistol River
North Fork Smith River
North Fork Trask River
North Fork Umatilla Additions
North Fork- Middle Fork Willamette
North Mountain
North Paulina Peak
North Pinhead Butte
North Pot Holes
North Prong Creek
North Spit Coos Bay
North Spit Umpqua
Oak Flats
Oak Grove Fork
Observation Peak
Ochoco Divide
Odell Creek
Olallie Lakes
Olallie Meadow
Olallie Ridge
Onion Mountain
Ophir Mountain
Ore Creek
Owsley Creek
Packard Creek
Packers Cabin
Paddock Butte
Palmer Mountain
Panther Creek
Paradise Creek
Parasol Butte
Parker Creek
Parker Hills
Pass Creek Calapooya Mountains
Paulina Creek
Paulina Peak
Peavine Ridge
Pelican Butte and Sky Lakes Additions
Peterson Lava
Pickett Creek
Pig Iron
Pine Creek
Pine Mountain Summit
Pine Spring Basin
Pipestone Creek - Beaver Creek
Point Nance
Pole Bridge Creek
Pole Creek
Poole Creek
Poole Hill
Potato Illahe Mountain
Preacher Flat
Professor Spring
Puddin Rock
Pumice Springs
Purple Mountain
Pyramid Creek
Pyramid Lake
Quartz Creek
Quartz Lick
Quentin Creek
Quosatana Creek
RNA Spring
Rabbit Lake
Ragged Rock Spring
Rail Creek
Randall Hill
Red Bridge-Grande Ronde River
Red Cone
Red Mountain Creek
Reflection Lake
Resiliency Butte
Reuben Creek
Rhododendron Ridge
Rice Spring
Riggs Creek
Ring Corral Creek
Roaring River
Rock Creek
Rock Creek Wilderness Additions
Rogger Peak
Rogue Gorge
Rogue Umpqua Divide Additions
Rough Canyon
Round Butte
Round Mountain
Round Top Mountain
Round Valley
Saddle Mountain
Sage Hen Creek
Salmon Huckleberry Additions
Salmon-Huckleberry Additions - Salmon River Meadows
Salt Butte
Sand Butte
Santiam Wagon Road
Sawtooth Creek
Scattered Lava
Schurtz Creek
Scorpion Mountain
Scout Creek
Service Glades
Seven Mile Ridge
Sexton Mountain
Shadow Falls
Shake Creek
Shan Creek
Sharff Cabin Creek
Shasta Costa Creek
Sheep Gulch
Shellrock Mountain
Sherwood Butte
Short Canyon
Siah Butte
Signal Buttes
Silver Creek
Silver Dollar Flat
Sisi Butte
Siuslaw Spit
Six Mile Creek
Skinner Creek
Skookum Creek
Skookum Lake
Skull Creek
Skull Springs
Skyliner Park
Slate Creek
Slate Rock
Slinger Rock
Smoke Creek
Snow Mountain
Snowshoe Springs
Soldier Creek
South Chiloquin Ridge
South Fork Bull Run River
South Fork Cabin Creek (Madden Meadows)
South Fork Catherine Creek
South Fork Cedar Creek
South Fork Clackamas River (Memaloose creek)
South Fork Cow Creek
South Fork Long Creek
South Fork Smith River (South)
South Fork Smith River(North)
South Fork Sycan River
South Fox Creek
South Sycan Flat
Spanish Peak
Spotted Owl Creek
Sprague River
Squaw Back Ridge
Stair Creek
Stancliffe Creek
Starkey Creek
Steamboat Creek
Steelhead Creek
Stein butte
Stein's Pillar
Stevens Canyon
Stices Creek
Stickney Gulch
Stinger Creek
Straight Creek
Strawberry Mountain Additions
Stricklin Butte
Stu Garrett
Stump Pond
Sugar Pine Ridge
Sugarloaf mountain
Sumac Creek
Summit Creek
Summit Lake
Summit Rock
Sundown Ridge
Sunrise Creek
Surveyor Creek
Surveyor's Lava Flow
Sutton Creek
Swamp Creek
Swan Lake Rim
Swan Lake Rim South
Sweet Creek Falls
Sycan Flat
Sycan River
Table Creek
Table Mountain
Table Rock Wilderness Additions
Tahkenitch Creek
Tamarack Creek
Tamolitch Falls
Tatouche Peak
Tenmile Ridge
Texas Butte
Thomason Meadows
Thompson Falls
Thompson Gulch
Thorn Prairie
Thorn Spring
Three Buttes
Three Creeks
Three Pyramids
Three Sisters additions - Frog Camp
Thunder Creek
Tidbits Mountain - Owl Ridge
Tiger Creek
Tire Mountain
Toketa Creek
Tom Dick and Harry Mountain
Too Much Bear Lake
Tope Creek-Mud Creek
Tope Spring
Topso Butte
Township Meadow
Trail Creek
Trout Creek
Tumalo Creek
Tumblebug Creek
Turner Mountain
Twin Lakes
Twisted Rush
Two Girls
Umpqua Dunes
Union Creek
Unnamed
Upper Blue Bucket Creek
Upper China Creek
Upper Dams Canyon
Upper Drift Creek
Upper Jump Creek
Upper Lapham Creek
Upper Malheur River
Upper McCoy Creek (Rait Ravine)
Upper Middle Fork John Day River
Upper Mill Creek
Upper Murderers Creek
Upper Potamus Creek
Upper Rogue Canyon
Upper Sawtooth
Upper Soda
Upper Summit Creek
Upper Tioga Creek
Upper Wildhorse Creek
Valley of the Giants
Van Gulch
Vance Creek
Venator Creek
Vingie Ridge
Wagner Butte
Walker Rim
Warm Springs Creek
Warner Creek (Cornpatch)
Warners
Wart Peak
Wassen Creek
Watson Peak
Waucup Creek
Wellington Mountain
Wenaha -Tucannon Additions
West Birch Creek
West Fork Silvies River
West Lava Cast Forest
West Pinhead Butte
West of Sand Spring
Wheeler Creek
Whiskey Creek
Whiskey Peak
Whiskey Ridge
White Bull Mountain
White Rock Creek
Wild Rogue Additions
Wildcat Canyon
Wildcat Creek
Wildcat Gulch
Wildcat Mountain
Wildhorse Creek
Wildhorse Springs
Williams Creek
Williams Prairie
Willow Springs
Wilson Creek
Winchuck River
Wind Creek
Windfall Creek
Windy Creek
Windy Peak
Windy Valley
Winter Ridge
Winter Warm Spring Creek
Wocus Bays
Wolf Creek
Wolf Mountain
Wood Rat Mountain
Ya Whee Plateau Rim
Yamsay Mountain
Yellow Creek
Yellow Jacket
Yellow Jacket Spring
Yellow Rock
Yew Wood Springs
Yoss Creek meadow
Yoss Ridge
Youngs Rock
Zane Grey
Zany Fox
844
